"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 13, 2021","55,463.0","55,967.0","56,528.0","54,864.0","5.67K","-0.90%"
"Oct 12, 2021","55,967.0","57,468.0","57,633.0","54,000.0","5.94K","-2.61%"
"Oct 11, 2021","57,468.0","54,701.0","57,802.5","54,430.0","7.51K","5.06%"
"Oct 10, 2021","54,701.0","54,978.0","56,414.0","54,173.0","5.84K","-0.50%"
"Oct 09, 2021","54,978.0","53,925.0","55,443.7","53,711.0","2.44K","1.95%"
"Oct 08, 2021","53,925.0","53,793.0","56,000.0","53,649.0","5.48K","0.25%"
"Oct 07, 2021","53,793.0","55,331.0","55,339.0","53,444.0","4.95K","-2.78%"
"Oct 06, 2021","55,331.0","51,508.0","55,724.0","50,448.0","10.52K","7.42%"
"Oct 05, 2021","51,508.0","49,232.0","51,891.1","49,065.0","6.68K","4.58%"
"Oct 04, 2021","49,252.0","48,243.0","49,503.0","46,951.0","6.19K","2.09%"
"Oct 03, 2021","48,243.0","47,675.0","49,187.0","47,124.0","3.60K","1.19%"
"Oct 02, 2021","47,675.0","48,151.0","48,330.0","47,459.0","2.06K","-1.00%"
"Oct 01, 2021","48,157.0","43,830.0","48,454.0","43,311.0","8.32K","9.87%"
"Sep 30, 2021","43,830.0","41,551.0","44,107.0","41,432.0","5.11K","5.48%"
"Sep 29, 2021","41,551.0","41,064.0","42,591.0","40,811.0","4.39K","1.19%"
"Sep 28, 2021","41,064.0","42,191.0","42,777.0","40,928.0","6.16K","-2.67%"
"Sep 27, 2021","42,191.0","43,220.5","44,354.0","42,144.0","4.26K","-2.29%"
"Sep 26, 2021","43,180.0","42,711.0","43,931.0","40,830.0","5.47K","1.10%"
"Sep 25, 2021","42,711.0","42,854.0","42,977.0","41,731.0","2.96K","-0.39%"
"Sep 24, 2021","42,878.0","44,882.0","45,140.0","40,779.0","11.76K","-4.47%"
"Sep 23, 2021","44,882.0","43,582.6","44,986.0","43,121.0","5.29K","2.98%"
"Sep 22, 2021","43,582.6","40,632.5","43,998.0","40,607.0","8.43K","7.18%"
"Sep 21, 2021","40,664.0","43,002.0","43,622.3","39,678.0","14.96K","-5.44%"
"Sep 20, 2021","43,002.0","47,239.0","47,323.0","42,577.0","12.63K","-8.97%"
"Sep 19, 2021","47,239.0","48,309.0","48,370.0","46,837.0","2.28K","-2.21%"
"Sep 18, 2021","48,309.0","47,296.0","48,794.0","47,070.0","2.05K","2.15%"
"Sep 17, 2021","47,292.0","47,786.0","48,183.0","46,782.0","2.49K","-1.03%"
"Sep 16, 2021","47,786.0","48,136.0","48,518.0","47,080.0","3.61K","-0.73%"
"Sep 15, 2021","48,136.0","47,078.0","48,440.0","46,738.0","3.98K","2.25%"
"Sep 14, 2021","47,078.0","44,960.0","47,235.0","44,726.0","3.52K","4.71%"
"Sep 13, 2021","44,960.0","46,069.0","46,823.0","43,514.0","8.77K","-2.41%"